Date,Close,Volume,Open,High,Low
2023-05-19,180.14,136196700,177.17,181.95,176.31
2023-05-18,176.89,109520300,174.22,177.06,172.45
2023-05-17,173.86,125473600,168.41,174.5,167.185
2023-05-16,166.52,98288790,165.65,169.5184,164.35
2023-05-15,166.35,105592500,167.655,169.76,164.5499
2023-05-12,167.98,157849600,176.07,177.38,167.23
2023-05-11,172.08,103889900,168.7,173.57,166.79
2023-05-10,168.54,119840700,172.55,174.43,166.68
2023-05-09,169.15,88965040,168.95,169.82,166.56
2023-05-08,171.79,112249400,173.72,173.8,169.19
2023-05-05,170.06,107607300,163.97,170.7899,163.51
2023-05-04,161.2,95108490,162.71,162.95,159.65
2023-05-03,160.61,119728000,160.01,165.0,159.91
2023-05-02,160.31,128259700,161.88,165.49,158.93
2023-05-01,161.83,109015000,163.17,163.28,158.83
2023-04-28,164.31,122515800,160.9,165.0,157.32
2023-04-27,160.19,127015200,152.64,160.48,152.37
2023-04-26,153.75,153364100,160.29,160.67,153.14
2023-04-25,160.67,121999300,159.82,163.47,158.75
2023-04-24,162.55,140006600,164.65,165.65,158.61
2023-04-21,165.08,123539000,164.8,166.0,161.3208
2023-04-20,162.99,210970800,166.165,169.7,160.56
2023-04-19,180.59,125732700,179.1,183.5,177.65
2023-04-18,184.31,92067020,187.15,187.69,183.5775
2023-04-17,187.04,116662200,186.32,189.69,182.69
2023-04-14,185.0,96438660,183.95,186.28,182.01
2023-04-13,185.9,112933000,182.955,186.5,180.94
2023-04-12,180.54,150256300,190.74,191.5846,180.31
2023-04-11,186.79,115770900,186.69,189.19,185.6475
2023-04-10,184.51,142154600,179.94,185.1,176.11
2023-04-06,185.06,123857900,183.08,186.39,179.74
2023-04-05,185.52,133882500,190.515,190.68,183.76
2023-04-04,192.58,126463800,197.32,198.7446,190.32
2023-04-03,194.77,169545900,199.91,202.6897,192.2
2023-03-31,207.46,170222100,197.53,207.79,197.2
2023-03-30,195.28,110252200,195.58,197.33,194.42
2023-03-29,193.88,123660000,193.13,195.29,189.44
2023-03-28,189.19,98654640,192.0,192.35,185.43
2023-03-27,191.81,120851600,194.415,197.39,189.94
2023-03-24,190.41,116531600,191.65,192.36,187.15
2023-03-23,192.22,144193900,195.26,199.31,188.65
2023-03-22,191.15,150376400,199.3,200.66,190.95
2023-03-21,197.58,153391400,188.28,198.0,188.04
2023-03-20,183.25,129684400,178.08,186.44,176.35
2023-03-17,180.13,133197100,184.515,186.2199,177.33
2023-03-16,184.13,121374500,180.365,185.81,178.84
2023-03-15,180.45,145995600,180.8,182.34,176.03
2023-03-14,183.26,143717900,177.31,183.8,177.1401
2023-03-13,174.48,167790300,167.455,177.35,163.91
2023-03-10,173.44,191488900,175.13,178.29,168.44
2023-03-09,172.92,170023800,180.25,185.18,172.5124
2023-03-08,182.0,151897800,185.04,186.5,180.0
2023-03-07,187.71,148125800,191.38,194.2,186.1
2023-03-06,193.81,128100100,198.54,198.6,192.3
2023-03-03,197.79,154193300,194.795,200.48,192.88
2023-03-02,190.9,181979200,186.74,193.7499,186.01
2023-03-01,202.77,156852800,206.21,207.2,198.52
2023-02-28,205.71,153144900,210.59,211.23,203.75
2023-02-27,207.63,161028300,202.03,209.42,201.26
2023-02-24,196.88,142228100,196.325,197.6695,192.8
2023-02-23,202.07,146360000,203.91,205.14,196.33
2023-02-22,200.86,191828500,197.93,201.99,191.78
2023-02-21,197.37,180018600,204.99,209.71,197.22
2023-02-17,208.31,213738500,199.985,208.44,197.5
2023-02-16,202.04,229586500,210.78,217.65,201.84
2023-02-15,214.24,182108600,211.755,214.66,206.11
2023-02-14,209.25,216455700,191.94,209.82,189.44
2023-02-13,194.64,172475500,194.415,196.3,187.61
2023-02-10,196.89,204754100,202.225,206.2,192.89
2023-02-09,207.32,215431400,207.775,214.0,204.77
2023-02-08,201.29,180673600,196.1,203.0,194.31
2023-02-07,196.81,186010300,196.43,197.5,189.55
2023-02-06,194.76,186188100,193.01,198.17,189.92
2023-02-03,189.98,232662000,183.95,199.0,183.69
2023-02-02,188.27,217448300,187.325,196.7501,182.61
2023-02-01,181.41,213806300,173.89,183.805,169.93
2023-01-31,173.22,196813500,164.57,174.3,162.78
2023-01-30,166.66,230878800,178.05,179.77,166.5
2023-01-27,177.9,306590600,162.43,180.68,161.17
2023-01-26,160.27,234815100,159.965,161.42,154.76
2023-01-25,144.43,192734300,141.905,146.41,138.07
2023-01-24,143.89,158699100,143.0,146.5,141.1
2023-01-23,143.75,203119200,135.87,145.3793,134.27
2023-01-20,133.42,138858100,128.68,133.51,127.3466
2023-01-19,127.17,170291900,127.26,129.99,124.3082
2023-01-18,128.78,195680300,136.555,136.68,127.01
2023-01-17,131.49,186477000,125.695,131.7,125.02
2023-01-13,122.4,180714100,116.55,122.63,115.6
2023-01-12,123.56,169400900,122.56,124.1311,117.0
2023-01-11,123.22,183810800,122.09,125.95,120.51
2023-01-10,118.85,167642500,121.07,122.76,114.92
2023-01-09,119.77,190284000,118.96,123.52,117.11
2023-01-06,113.06,220911100,103.0,114.39,101.81
2023-01-05,110.34,157986300,110.51,111.75,107.1601
2023-01-04,113.64,180389000,109.11,114.59,107.52
2023-01-03,108.1,231402800,118.47,118.8,104.64
2022-12-30,123.18,157777300,119.95,124.48,119.75
2022-12-29,121.82,221923300,120.385,123.57,117.495
2022-12-28,112.71,221070500,110.35,116.27,108.24
2022-12-27,109.1,208643400,117.495,119.67,108.76
2022-12-23,123.15,166989700,126.37,128.6173,121.02
2022-12-22,125.35,210090300,136.0,136.63,122.26
2022-12-21,137.57,145417400,139.335,141.26,135.89
2022-12-20,137.8,159563300,146.05,148.47,137.66
2022-12-19,149.87,139390600,154.0,155.25,145.82
2022-12-16,150.23,139032200,159.635,160.99,150.04
2022-12-15,157.67,122334500,153.44,160.9299,153.28
2022-12-14,156.8,140682300,159.25,161.62,155.31
2022-12-13,160.95,175862700,174.87,175.05,156.91
2022-12-12,167.82,109794500,176.1,177.37,167.52
2022-12-09,179.05,104872300,173.84,182.5,173.36
2022-12-08,173.44,97624490,172.2,175.2,169.06
2022-12-07,174.04,84213280,175.03,179.38,172.218
2022-12-06,179.82,92150820,181.215,183.65,175.33
2022-12-05,182.45,93122670,189.44,191.27,180.55
2022-12-02,194.86,73645920,191.78,196.25,191.11
2022-12-01,194.7,80046210,197.08,198.92,191.8
2022-11-30,194.7,109186400,182.43,194.76,180.6301
2022-11-29,180.83,83357110,184.99,186.38,178.75
2022-11-28,182.92,93038150,179.96,188.5,179.0
2022-11-25,182.86,50672740,185.06,185.2,180.63
2022-11-23,183.2,109536700,173.57,183.62,172.5
2022-11-22,169.91,78452330,168.63,170.92,166.185
2022-11-21,167.87,92882710,175.85,176.77,167.54
2022-11-18,180.19,76048870,185.05,185.19,176.55
2022-11-17,183.17,64335970,183.96,186.16,180.9
2022-11-16,186.92,66567600,191.51,192.57,185.66
2022-11-15,194.42,91293790,195.88,200.8237,192.06
2022-11-14,190.95,92226650,192.77,195.73,186.34
2022-11-11,195.97,114403600,186.0,196.52,182.59
2022-11-10,190.72,132703000,189.9,191.0,180.03
2022-11-09,177.59,127062700,190.775,195.89,177.12
2022-11-08,191.3,128803400,194.02,195.2,186.75
2022-11-07,197.08,93916520,208.65,208.9,196.66
2022-11-04,207.47,98622210,222.6,223.8,203.08
2022-11-03,215.31,56538850,211.36,221.2,210.14
2022-11-02,214.98,63070290,226.04,227.8699,214.82
2022-11-01,227.82,62688820,234.05,237.3951,227.28
2022-10-31,227.54,61554340,226.19,229.85,221.94
2022-10-28,228.52,69152390,225.4,228.86,216.35
2022-10-27,225.09,61638820,229.77,233.81,222.85
2022-10-26,224.64,85327080,219.4,230.6,218.2
2022-10-25,222.415,96507870,210.1,224.3498,210.0
2022-10-24,211.25,100446800,205.82,213.5,198.5863
2022-10-21,214.44,75713750,206.415,214.66,203.8
2022-10-20,207.28,117798100,208.28,215.55,202.0
2022-10-19,222.04,66571480,219.8,222.93,217.78
2022-10-18,220.19,75891910,229.5,229.82,217.25
2022-10-17,219.35,79428810,210.04,221.86,209.45
2022-10-14,204.99,94124510,224.01,226.26,204.16
